square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,neighborhood_score,price
2501,4,1,35,1622,1,3.64,433676.21284996485
3591,5,2,39,3380,1,0.99,625064.8036257422
2096,1,3,16,4516,3,1.16,393056.0679551628
1027,1,2,29,6896,2,2.54,215185.09376319632
986,5,2,8,9783,1,2.95,326540.0262791764
2048,3,1,32,814,2,5.3,382632.0355445894
1843,3,3,55,4770,3,6.78,350082.61321126693
1845,3,1,51,470,2,5.93,304926.7348794988
503,5,1,24,2668,3,1.48,231066.11595307032
653,1,3,13,9782,0,1.72,183022.11773675604
3698,5,3,10,3807,2,8.79,778959.3369211096
3583,5,2,52,3275,2,5.58,606811.6803366737
2957,3,3,34,489,0,8.7,539411.5566840275
1896,2,2,40,8320,2,3.72,327505.9392667997
498,1,2,58,6814,0,6.14,49624.961434133314
2600,3,2,13,3452,1,5.24,498385.88320144895
2284,2,3,29,7615,3,3.19,434908.0206279244
3361,2,1,40,6971,0,4.7,517799.906870363
2319,4,2,3,478,2,5.02,532211.5017978112
1277,1,1,58,780,0,2.01,139048.2234623528
737,2,1,3,5158,2,3.15,223817.1077841922
3269,3,3,27,8645,1,7.91,603226.800728971
3634,4,1,7,4476,0,9.16,699670.7860743622
1356,1,1,1,8197,1,3.6,300695.1255647784
2104,5,3,40,4976,3,3.07,443583.42711300525
560,3,2,45,1024,2,1.95,100212.32214746714
2003,2,1,21,4032,2,6.78,386179.92916803743
3248,2,3,40,9091,1,3.23,561585.5904507092
797,3,1,55,5645,3,9.88,155903.04323353307
1700,2,1,54,1580,0,3.26,229032.10762601675
1215,4,2,15,6734,0,3.94,318281.2100292191
1927,1,1,28,3356,2,6.03,301433.43885756464
2319,4,3,48,4507,1,8.02,426946.9563318022
1815,2,1,47,5834,1,4.7,296556.178832528
1558,5,2,29,8775,0,4.23,378040.3687770322
1618,1,2,11,6010,3,9.96,406315.59624542337
800,1,3,34,8733,3,0.1,223939.09536734183
1039,3,2,10,6134,0,8.95,287843.3896463202
3504,3,1,45,3309,0,1.49,532003.462370361
3135,5,2,49,4282,1,7.86,582856.4453554177
859,1,3,20,3440,3,6.18,218398.14152552685
1354,5,2,20,6228,0,3.42,320574.09430108697
869,3,2,4,2049,0,8.74,256562.67895269798
3846,3,2,47,8697,2,0.13,622070.5339964578
1445,1,3,19,2949,0,2.27,284710.6124613175
3197,4,2,36,6880,0,5.67,556271.9675573128
2093,2,2,2,9527,3,3.52,461266.4411459563
2485,3,1,43,405,1,6.1,442759.0690281064
2677,3,3,32,7552,3,0.24,510816.81428148097
3836,4,2,52,4791,1,1.16,654796.8457624356
962,4,3,8,3650,2,1.27,328451.132021319
2885,5,2,8,7414,0,1.89,599088.8047340127
2199,5,2,3,4011,2,4.59,508558.9442012296
3754,2,2,34,5341,1,7.52,649152.159546982
2474,2,1,16,8701,3,9.06,483682.5016272385
625,1,1,33,2908,3,8.35,143575.8068994608
3748,5,1,23,2191,2,1.97,688095.9734833118
1197,3,3,31,8663,1,4.41,282998.65055213036
2731,5,3,0,3473,2,1.99,593160.6456317892
3326,3,1,7,4738,2,2.64,586754.0217003427
1359,4,3,44,8912,0,5.04,312976.65860650956
1904,5,2,22,9368,2,0.68,443782.8425361272
852,4,2,46,3922,0,2.18,145771.78015007317
3467,2,2,39,3751,0,9.35,552666.2530092628
1215,2,1,11,3032,3,4.66,288875.3085854677
1058,1,3,53,5879,0,4.45,171659.44707121135
3987,5,1,11,6779,0,0.15,694688.9268206581
946,4,3,45,352,3,2.47,233229.22666915157
1615,3,2,46,5954,2,8.66,328931.09190507926
3520,2,1,14,3000,1,1.65,588919.7639620143
3983,2,3,40,5510,1,4.15,661036.5929686879
416,3,3,18,2810,1,0.14,157688.96235911048
3643,4,2,25,1304,2,4.78,681581.9270339904
1643,4,1,51,7561,0,0.21,259216.28572267457
2605,5,1,28,4399,1,8.2,490306.4352181124
2924,5,1,21,4054,2,8.25,585036.537281231
1469,1,2,39,7463,0,7.88,222245.48055423007
3844,2,1,20,2114,3,2.83,612215.7762387441
2965,5,2,50,7565,1,8.37,566664.7059610803
2546,4,2,37,3272,0,5.43,441049.5103687836
2168,3,2,19,9398,1,3.74,410542.9683483237
1460,4,3,56,606,1,6.25,265726.82446100784
2727,2,1,28,366,1,0.12,422008.9873717841
3820,4,1,50,708,0,1.43,590863.7707767291
2944,1,2,3,1861,2,7.42,529712.2653262806
701,2,2,54,3864,0,2.44,112161.7228451231
580,3,1,6,3689,1,5.98,218242.6826231543
1006,1,2,27,880,0,3.85,154710.1709876893
3570,2,1,27,2724,3,8.55,605236.0675410322
1099,3,3,3,2320,2,9.52,326588.8551992283
1392,1,2,21,5460,0,8.84,270939.8527726732
1539,1,1,11,4557,3,2.71,332747.67033967364
590,2,2,44,1563,2,1.94,142252.26830005215
2700,5,1,2,9723,3,4.74,649643.3477233157
1380,1,1,21,2492,2,0.07,199806.52141691642
3375,1,2,43,1738,0,0.26,476020.08553696744
2406,3,3,1,3608,3,5.53,573986.1836214997
1584,4,1,23,7942,1,5.2,312069.9936444633
3727,2,1,33,8952,3,9.95,681629.3012834141
3794,2,1,26,9491,2,2.02,640089.0254628649
527,5,3,54,2103,0,2.58,151678.6554604509
2465,5,3,40,374,2,1.14,453322.0402776106
2216,2,2,0,2430,3,9.18,475776.73559991404
2158,5,3,7,4487,3,7.78,571961.5271941981
3013,3,2,22,4360,1,8.22,560376.3372951754
969,2,2,37,7306,0,9.03,194162.0194357959
1746,5,3,5,9889,0,5.25,460542.38392758474
2295,2,2,21,3371,3,4.51,438677.64799394686
3133,4,3,24,1767,0,3.3,587287.0229961288
1025,1,2,17,1351,1,5.89,203127.17335680156
3759,2,3,16,7819,2,4.54,684564.9470278379
3301,1,3,11,6233,0,4.52,571354.4746911856
2086,5,2,5,8760,3,9.37,492450.66718610644
3409,1,1,25,5146,2,9.84,585801.1557449537
554,2,2,26,8434,2,7.96,157172.5431688889
2937,4,3,7,2107,1,7.57,605179.1813979179
1809,5,1,18,3690,3,6.81,446681.3649165582
1184,2,2,59,2735,0,1.66,130093.73086919141
3575,5,2,41,4373,3,0.59,656859.681938992
3864,3,2,0,1493,2,6.91,727319.7308606268
645,1,1,56,4969,3,7.29,82227.53198145873
3647,3,3,28,4996,0,0.47,667910.4657777214
3510,2,2,44,7071,0,9.28,570470.8740849033
1900,4,2,48,3172,1,0.91,326712.1422084652
2105,5,2,34,4122,0,2.86,398969.74155267194
3206,1,2,39,5197,0,6.72,521077.2493687339
937,5,2,13,7232,3,1.7,301872.87547073176
2290,2,3,34,1192,3,0.55,429664.3619708205
2241,5,3,47,8312,2,3.31,453654.4033775368
1320,1,2,44,5487,1,7.66,246277.76128867696
2855,2,1,19,2440,3,4.14,491699.2110503423
924,5,3,55,1676,0,6.53,198480.7352180799
3275,4,1,48,6626,2,5.8,555281.8937193986
1929,2,3,12,589,3,0.22,398226.6700495045
3350,2,2,37,1199,1,9.89,553476.8594260598
435,4,3,48,2055,1,0.41,182218.80810853036
1084,3,2,45,8325,2,9.68,289554.94008703815
419,1,3,48,9050,2,5.5,112431.10149642086
2768,3,2,7,2963,2,9.63,574355.4414810091
2959,5,2,42,3863,2,1.15,536297.3563984084
799,4,2,19,5186,2,4.9,235925.48932963738
3101,3,2,59,1681,0,1.7,461970.55518889497
1371,2,1,32,7456,0,0.51,248514.35502924107
2306,5,2,25,3931,3,6.18,528414.5352313602
2918,5,1,38,7462,1,2.08,547778.1684104541
1566,3,1,20,651,0,5.88,278646.5141369158
1515,3,2,52,9929,0,1.12,250683.44643692573
3825,4,1,48,3293,0,3.32,579918.6487026801
1233,1,3,41,1082,3,7.82,266950.8711480544
2223,3,2,42,4608,2,4.37,393528.3121039934
3174,3,1,53,4268,3,6.28,521533.79768737935
2382,2,2,40,3477,1,6.47,413265.0053601
1253,5,2,8,8766,1,8.44,430124.798396238
450,1,2,23,8151,1,3.25,132917.4987957905
974,2,1,36,4890,1,6.87,184724.57924387496
3661,4,3,48,4795,0,9.62,611779.1575759272
1548,4,3,40,4759,0,7.3,357790.7889700621
2597,3,1,16,7491,3,4.9,508599.2707140585
2761,3,2,23,8360,2,6.31,566942.849298554
3017,4,1,20,312,1,7.4,582486.2622589745
3813,3,1,50,5331,3,6.12,616712.8779478306
2752,1,1,58,3397,0,0.17,331258.4763828819
2115,3,2,38,339,0,1.95,363229.38234407216
1081,5,1,54,1624,2,8.1,224399.92942456796
1237,3,2,40,3149,2,2.73,250824.9168491261
1477,2,1,38,3368,2,7.32,290226.99213708675
3450,1,3,12,8908,3,3.72,604404.3576875033
2891,2,1,10,6243,0,5.22,522088.2768813643
3060,2,1,45,7189,0,0.68,475609.92381771473
3440,5,3,18,7436,2,1.81,701464.2112351212
2711,1,2,10,6461,1,9.57,481011.15657625155
3524,1,2,12,1087,2,8.9,631860.7293954793
1995,1,1,45,3304,3,6.52,344488.7316381339
3451,1,3,44,249,2,4.6,555812.6759680015
404,1,2,0,4151,2,6.76,176868.11587782926
1526,5,1,39,3760,3,6.19,364782.2588114689
1619,3,3,43,218,2,5.69,305469.6237912234
1173,2,2,18,5021,0,0.59,211165.3418359346
1276,1,2,11,6540,1,6.33,277458.04370138136
1391,3,3,7,8258,2,7.69,389936.90383408
3331,3,3,7,9865,3,9.94,710978.7352287286
3821,2,3,52,2806,1,0.11,600702.0514833586
446,5,3,44,8046,3,7.3,228608.42137449715
3314,4,1,11,8843,1,5.72,655852.2286020792
3270,4,3,47,6632,1,4.34,570996.4598740378
3383,3,2,32,3965,2,1.28,582261.2139618482
3103,2,2,44,2638,0,4.09,510739.35586299753
668,4,1,25,9941,2,3.54,191498.85951538626
769,3,2,38,6558,3,3.03,210138.6572304459
1035,5,2,27,8519,3,7.31,305883.8234216596
1529,4,3,57,6141,1,7.01,325667.23206461937
2093,3,2,4,7844,1,5.89,458949.29038849723
